name,description,cuisine
Mulakootal Recipe (Vegetables In Coconut Gravy),"Mulakootal Recipe is a very old, traditional Palakkad Brahmin recipe. It’s a curry made from a combination of lentils and vegetables and coconut gravy. It is a mildly spiced gravy that goes well with steamed rice and ghee. There are some variations of mulakootal, basically depending on the type of vegetable one uses in cooking it. There is keerai mulakootal made with lentils and spinach, there is pumpkin mulakootal made using pumpkin and vegetable mulakootal uses different types of vegetables. This curry comes very close to kootu which we make in Tamil Nadu.",South Indian Recipes
Parshe Macher Jhal Recipe - Mullet In Mustard Sauce,"In Parshe Macher Jhal, Mullet is cooked whole in a hot mustard sauce and flavoured with goodness of coriander leaves. It is easy to make and mustard sauce adds an extra flavour to it. ",Bengali Recipes
Chocolate Chip & Raisin Rolls Recipe,"Chocolate Chip & Raisin Rolls is an indulgent breakfast or tea-time treat. There is nothing as satisfying as baking your own bread! Specially if the bread turns out to be a soft, chocolate and raisin filled fluffy roll, best eaten warm. Using a few simple ingredients, a bit of planning and patience, the results of this recipe are satisfying and oh-so-scrumptious. ",Continental
Omakka Curry Recipe - Kerala Style Papaya Curry,"Omakka Curry is a simple Papaya based curry which is made in most of the Kerala households for lunch or dinner. it is mildly spicy and is eaten with Kerala Matta Rice. Full of flavour and taste, this curry is delicious and easy to make.",Kerala Recipes
Chinese 5 spice powder Recipe ,"Chinese 5 spice powder Recipe is a medley of 5 distinct spice which are star anise, peppercorns, cloves, cinnamon stick and cumin seeds. This mixture is primarily used in the Chinese cooking. It is mainly used in the meat dishes as Spice rub to add some extra flavors to the meat.",Chinese
Malabar Prawn Curry Recipe,"Malabar Prawn Curry is a recipe from the coastal regions of South India, KERALA, which is aptly called “God’s Own country”. Because of the abundance of coconut trees in Kerala, it finds it's exclusive presence in Malabar Cuisine. Malabari Cuisine is from the Southern Part of Konkan Coast, which is quite different from the Northern Konkan cuisine namely Malvani and Gonmantak. Usage of Tamarind and Curry leaves is the signature of Malabari Cuisine. This recipe has a burst of flavour with the tanginess of tamarind, great flavours of curry leaves and the sweet taste of coconut milk.",Kerala Recipes
Sweet Potato Pineapple Skewers In Spicy Sweetish Peanut Dip Recipe,"Sweet Potato Pineapple Skewers In Spicy Sweetish Peanut Dip Recipe is an excellent and delicious party dish. This is a crowd pleaser and can be made when you have your guests at home. In this recipe, sweet potato and pineapple are marinated in a spicy sauce and later grilled in a tandoor or a pan. The grilled sweet potato pineapple skewers are is later served along with spicy sweetish peanut dip. You can serve Sweet Potato Pineapple Skewers In Spicy Sweetish Peanut Dip Recipe along with other skewers like Paprika Chicken Skewers Recipe and Grilled Tofu in Spicy Plum Barbecue Sauce for a weekend house party for starters.",Asian
Chicken Dum Biryani Recipe ,Chicken Dum Biryani Recipe is one such recipe which is loved by everyone in the family.,North Indian Recipes
Meni Style Senai Kilangu Masala Recipe - Yam in Spicy Gravy,Kongunadu Style Senai Kilangu Masala Recipe (Yam in Spicy Gravy) is a recipe that is from Tamil Nadu. Kongunadu is a part of Tamil Nadu cuisine which is famous for its spicy flavor. In this recipe we have used different spice mixtures that are roasted well and ground into a spicy paste and cooked along with yam.,Tamil Nadu
Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry),"Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry) is a Konkani style raw mango curry. Its tangy, spicy, little sweetish with a hint of bitterness acquired from methi seeds in it. Its one of the must dish in Konkani festivals. Served with steamed rice, they taste absolute finger licking.",Karnataka
Cheesy Baked Ziti Pasta Recipe with Roasted Mushroom & Corn ,"Cheesy Baked Ziti Pasta Recipe with Roasted Mushroom & Corn, is a baked pasta dish.  Ziti is a tube like pasta similar to that of penne, however siti has no ridges on the outer surface and the edges are cut flat at 180 degrees unlike penne which are angularly cut. ",Italian Recipes
Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe),Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe) is a variation to Akki Rotti which is a very famous Karnataka’s breakfast dish. Dill leaves are very important in their cuisine as it is locally available. The leaves have a very strong fragrant and pungent taste and is best used for savory purposes. It is added to the rice flour and flattened rice dough and patted on a cloth and then cooked over a flat tawa.,Karnataka
VDAIKAI (OKra) Pula kootu Recipe,"Vendaikai Puli Kootu Recipe is a popular dish in Tamil Nadu and is usually prepared in almost every home to serve along with rice. Vendaikai Puli kootu is okra curry simmered in tamarind sauce with grounded spices. The dish can be prepared in few minutes without any fuss. It can be either gravy or dry one based on your preference. The grounded cumin, ginger and garlic adds unique flavor to the dish.",Tamil Nadu
Broccoli Oats Smoothie Bowl Recipe,Broccoli Oats Smoothie Bowl is a healthy and satisfying dish to have for breakfast. Starting the day with a healthy breakfast is the best thing you can do for your body. A healthy wholesome start refreshes your body and also your mind. This bowl of smoothie promises to meet all your daily nutrition requirements.,Continental
Moolangi Tovve Recipe - Radish Curry,"Moolangi Tovve is a simple dal which is made with the combination of lentils and vegetables. Tovve is a Kannada term which means a simple, basic and humble dal, something that is not heavy and is light on the tummy.",South Indian Recipes
Palak Tovve Recipe - South Indian Dal Palak With Coconut ,"Palak Dal is a tasty and nutritious Karnataka style curry, also known as Palak Tovve, is quick to make and tastes delicious. Palak Dal is a nutritious combination of spinach and lentils, together they create one wholesome curry. Serve it with rotis for a simple weeknight dinner or traditional delicacies like majjige huli on the special festive occasions.",South Indian Recipes
